country,city,duration,stops,departure_time,arrival_time,airport_id,airline,price,duration_s_,departure_tod,arrival_tod,region,population,area,pop_density,coastline,migration,infant_mortality,gdp,birthrate,deathrate,distance
Afghanistan,Kabul,0 days 11:40:00,1.0,2024-03-15 15:05:00,2024-03-16 07:15:00,KBL,Fly Emirates,1076.0,42000.0,Afternoon,Morning,ASIA (EX. NEAR EAST),31056997,1677018.525,124.31951999999998,0.0,23.06,163.07,700.0,46.6,20.34,6887.77
Afghanistan,Kabul,0 days 12:40:00,1.0,2024-03-15 15:05:00,2024-03-16 08:15:00,KBL,Fly Emirates,1076.0,45600.0,Afternoon,Morning,ASIA (EX. NEAR EAST),31056997,1677018.525,124.31951999999998,0.0,23.06,163.07,700.0,46.6,20.34,6887.77
Afghanistan,Kabul,0 days 19:30:00,1.0,2024-03-15 15:05:00,2024-03-16 15:05:00,KBL,Fly Emirates,1076.0,70200.0,Afternoon,Afternoon,ASIA (EX. NEAR EAST),31056997,1677018.525,124.31951999999998,0.0,23.06,163.07,700.0,46.6,20.34,6887.77
Afghanistan,Kabul,1 days 00:20:00,2.0,2024-03-15 02:25:00,2024-03-16 07:15:00,KBL,Lufthansa,1947.0,87600.0,Night,Morning,ASIA (EX. NEAR EAST),31056997,1677018.525,124.31951999999998,0.0,23.06,163.07,700.0,46.6,20.34,6887.77
Afghanistan,Kabul,1 days 01:20:00,2.0,2024-03-15 02:25:00,2024-03-16 08:15:00,KBL,Lufthansa,2409.0,91200.0,Night,Morning,ASIA (EX. NEAR EAST),31056997,1677018.525,124.31951999999998,0.0,23.06,163.07,700.0,46.6,20.34,6887.77
Albania,Tirana,0 days 09:55:00,1.0,2024-03-15 02:25:00,2024-03-15 13:20:00,TIA,Lufthansa,163.0,35700.0,Night,Afternoon,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 08:05:00,1.0,2024-03-15 16:05:00,2024-03-16 01:10:00,TIA,Royal Air Maroc,208.0,29100.0,Afternoon,Night,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 10:05:00,1.0,2024-03-15 12:50:00,2024-03-15 23:55:00,TIA,Royal Air Maroc,190.0,36300.0,Afternoon,Evening,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 06:30:00,1.0,2024-03-15 13:00:00,2024-03-15 20:30:00,TIA,Royal Air Maroc,259.0,23400.0,Afternoon,Evening,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 12:40:00,2.0,2024-03-15 11:30:00,2024-03-16 01:10:00,TIA,TAP Air Portugal,199.0,45600.0,Morning,Night,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 10:50:00,1.0,2024-03-15 13:00:00,2024-03-16 00:50:00,TIA,Royal Air Maroc,240.0,39000.0,Afternoon,Night,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 09:40:00,1.0,2024-03-15 13:00:00,2024-03-15 23:40:00,TIA,Royal Air Maroc,254.0,34800.0,Afternoon,Evening,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 06:30:00,1.0,2024-03-15 13:00:00,2024-03-15 20:30:00,TIA,ITA Airways,297.0,23400.0,Afternoon,Evening,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 13:05:00,2.0,2024-03-15 02:25:00,2024-03-15 16:30:00,TIA,Lufthansa,217.0,47100.0,Night,Afternoon,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 13:05:00,2.0,2024-03-15 02:25:00,2024-03-15 16:30:00,TIA,Lufthansa,217.0,47100.0,Night,Afternoon,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 12:15:00,1.0,2024-03-15 11:00:00,2024-03-16 00:15:00,TIA,Royal Air Maroc,257.0,44100.0,Morning,Night,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 10:50:00,1.0,2024-03-15 13:00:00,2024-03-16 00:50:00,TIA,ITA Airways,275.0,39000.0,Afternoon,Night,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 19:25:00,1.0,2024-03-15 02:25:00,2024-03-15 22:50:00,TIA,Lufthansa,176.0,69900.0,Night,Evening,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 09:40:00,1.0,2024-03-15 13:00:00,2024-03-15 23:40:00,TIA,ITA Airways,292.0,34800.0,Afternoon,Evening,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 08:25:00,2.0,2024-03-15 13:25:00,2024-03-15 22:50:00,TIA,Royal Air Maroc,297.0,30300.0,Afternoon,Evening,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 10:25:00,2.0,2024-03-15 13:25:00,2024-03-16 00:50:00,TIA,Royal Air Maroc,275.0,37500.0,Afternoon,Night,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 20:15:00,1.0,2024-03-15 01:10:00,2024-03-15 22:25:00,TIA,Pegasus Airlines,182.0,72900.0,Night,Evening,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
Albania,Tirana,0 days 10:50:00,2.0,2024-03-15 11:00:00,2024-03-15 22:50:00,TIA,Royal Air Maroc,300.0,39000.0,Morning,Evening,EASTERN EUROPE,3581655,74457.03252,322.71275399999996,1.26,-4.93,21.52,4500.0,15.11,5.22,2556.53
