country,city,duration,stops,departure_time,arrival_time,airport_id,airline,price,duration_s_,departure_tod,arrival_tod
Angola,Catumbela,0 days 19:40:00,1,2024-03-15 22:05:00,2024-03-16 18:45:00,CBT,Royal Air Maroc,861.0,70800.0,Evening,Afternoon
Angola,Catumbela,1 days 01:10:00,2,2024-03-15 16:35:00,2024-03-16 18:45:00,CBT,Royal Air Maroc,744.0,90600.0,Afternoon,Afternoon
Angola,Catumbela,1 days 06:15:00,2,2024-03-15 11:30:00,2024-03-16 18:45:00,CBT,TAP Air Portugal,723.0,108900.0,Morning,Afternoon
Angola,Catumbela,1 days 01:10:00,3,2024-03-15 16:35:00,2024-03-16 18:45:00,CBT,Royal Air Maroc,910.0,90600.0,Afternoon,Afternoon
Angola,Catumbela,1 days 06:15:00,3,2024-03-15 11:30:00,2024-03-16 18:45:00,CBT,TAP Air Portugal,889.0,108900.0,Morning,Afternoon
Angola,Catumbela,1 days 06:15:00,3,2024-03-15 11:30:00,2024-03-16 18:45:00,CBT,TAP Air Portugal,889.0,108900.0,Morning,Afternoon
Angola,Catumbela,1 days 04:25:00,3,2024-03-15 13:20:00,2024-03-16 18:45:00,CBT,Royal Air Maroc,1144.0,102300.0,Afternoon,Afternoon
Angola,Catumbela,1 days 04:45:00,3,2024-03-15 13:00:00,2024-03-16 18:45:00,CBT,Royal Air Maroc,1179.0,103500.0,Afternoon,Afternoon
Angola,Catumbela,1 days 06:00:00,3,2024-03-15 11:45:00,2024-03-16 18:45:00,CBT,TUI fly Belgium,1154.0,108000.0,Morning,Afternoon
Angola,Catumbela,1 days 04:45:00,3,2024-03-15 13:00:00,2024-03-16 18:45:00,CBT,ITA Airways,1216.0,103500.0,Afternoon,Afternoon
Angola,Catumbela,1 days 04:10:00,3,2024-03-15 13:35:00,2024-03-16 18:45:00,CBT,Royal Air Maroc,1233.0,101400.0,Afternoon,Afternoon
Angola,Catumbela,1 days 09:55:00,3,2024-03-15 07:50:00,2024-03-16 18:45:00,CBT,Royal Air Maroc,1158.0,122100.0,Morning,Afternoon
Angola,Catumbela,1 days 06:15:00,4,2024-03-15 11:30:00,2024-03-16 18:45:00,CBT,TAP Air Portugal,1191.0,108900.0,Morning,Afternoon
Angola,Catumbela,1 days 15:10:00,3,2024-03-15 02:35:00,2024-03-16 18:45:00,CBT,Tunisair Express,1144.0,141000.0,Night,Afternoon
Angola,Catumbela,1 days 04:20:00,3,2024-03-15 13:25:00,2024-03-16 18:45:00,CBT,Royal Air Maroc,1424.0,102000.0,Afternoon,Afternoon
Angola,Catumbela,1 days 06:15:00,4,2024-03-15 11:30:00,2024-03-16 18:45:00,CBT,TAP Air Portugal,1321.0,108900.0,Morning,Afternoon
Angola,Catumbela,1 days 15:20:00,4,2024-03-15 02:25:00,2024-03-16 18:45:00,CBT,Lufthansa,1165.0,141600.0,Night,Afternoon
Angola,Catumbela,1 days 16:35:00,4,2024-03-15 01:10:00,2024-03-16 18:45:00,CBT,Pegasus Airlines,1138.0,146100.0,Night,Afternoon
Angola,Catumbela,1 days 16:35:00,4,2024-03-15 01:10:00,2024-03-16 18:45:00,CBT,Pegasus Airlines,1155.0,146100.0,Night,Afternoon
Angola,Catumbela,1 days 15:10:00,4,2024-03-15 02:35:00,2024-03-16 18:45:00,CBT,Tunisair Express,1200.0,141000.0,Night,Afternoon
Angola,Luanda,0 days 06:05:00,0,2024-03-15 22:05:00,2024-03-16 05:10:00,LAD,Royal Air Maroc,546.0,21900.0,Evening,Night
Angola,Luanda,0 days 13:25:00,1,2024-03-15 16:35:00,2024-03-16 07:00:00,LAD,Royal Air Maroc,557.0,48300.0,Afternoon,Morning
Angola,Luanda,0 days 18:30:00,1,2024-03-15 11:30:00,2024-03-16 07:00:00,LAD,TAP Air Portugal,531.0,66600.0,Morning,Morning
Angola,Luanda,0 days 19:00:00,2,2024-03-15 11:00:00,2024-03-16 07:00:00,LAD,Royal Air Maroc,590.0,68400.0,Morning,Morning
Angola,Luanda,0 days 19:00:00,2,2024-03-15 11:00:00,2024-03-16 07:00:00,LAD,Royal Air Maroc,604.0,68400.0,Morning,Morning
Angola,Luanda,0 days 19:00:00,2,2024-03-15 11:00:00,2024-03-16 07:00:00,LAD,Royal Air Maroc,689.0,68400.0,Morning,Morning
Angola,Luanda,0 days 19:00:00,2,2024-03-15 11:00:00,2024-03-16 07:00:00,LAD,Royal Air Maroc,709.0,68400.0,Morning,Morning
Angola,Luanda,0 days 21:10:00,2,2024-03-15 19:00:00,2024-03-16 17:10:00,LAD,Royal Air Maroc,619.0,76200.0,Evening,Afternoon
Angola,Luanda,0 days 19:00:00,3,2024-03-15 11:00:00,2024-03-16 07:00:00,LAD,Royal Air Maroc,654.0,68400.0,Morning,Morning
Angola,Luanda,1 days 03:40:00,1,2024-03-15 16:35:00,2024-03-16 21:15:00,LAD,Royal Air Maroc,454.0,99600.0,Afternoon,Evening
Angola,Luanda,0 days 20:50:00,2,2024-03-15 16:35:00,2024-03-16 14:25:00,LAD,Royal Air Maroc,723.0,75000.0,Afternoon,Afternoon
Angola,Luanda,1 days 02:00:00,2,2024-03-15 18:15:00,2024-03-16 21:15:00,LAD,Transavia,488.0,93600.0,Afternoon,Evening
Angola,Luanda,1 days 02:00:00,2,2024-03-15 18:15:00,2024-03-16 21:15:00,LAD,Transavia,488.0,93600.0,Afternoon,Evening
Angola,Luanda,1 days 02:00:00,2,2024-03-15 18:15:00,2024-03-16 21:15:00,LAD,Transavia,500.0,93600.0,Afternoon,Evening
Angola,Luanda,1 days 02:00:00,2,2024-03-15 18:15:00,2024-03-16 21:15:00,LAD,Transavia,518.0,93600.0,Afternoon,Evening
Angola,Luanda,1 days 01:15:00,2,2024-03-15 19:00:00,2024-03-16 21:15:00,LAD,Royal Air Maroc,567.0,90900.0,Evening,Evening
Angola,Luanda,1 days 01:15:00,2,2024-03-15 19:00:00,2024-03-16 21:15:00,LAD,Royal Air Maroc,581.0,90900.0,Evening,Evening
Angola,Luanda,1 days 01:45:00,2,2024-03-15 18:30:00,2024-03-16 21:15:00,LAD,Royal Air Maroc,570.0,92700.0,Afternoon,Evening
Angola,Luanda,1 days 01:45:00,2,2024-03-15 18:30:00,2024-03-16 21:15:00,LAD,Royal Air Maroc,570.0,92700.0,Afternoon,Evening
Angola,Luanda,0 days 22:20:00,1,2024-03-15 15:05:00,2024-03-16 14:25:00,LAD,Fly Emirates,825.0,80400.0,Afternoon,Afternoon
Anguilla,Anguilla,1 days 03:39:00,2,2024-03-15 13:35:00,2024-03-16 13:14:00,AXA,American Airlines,1968.0,99540.0,Afternoon,Afternoon
Anguilla,Anguilla,1 days 03:39:00,2,2024-03-15 13:35:00,2024-03-16 13:14:00,AXA,Iberia,2014.0,99540.0,Afternoon,Afternoon
Anguilla,Anguilla,1 days 05:24:00,2,2024-03-15 13:35:00,2024-03-16 14:59:00,AXA,American Airlines,1968.0,105840.0,Afternoon,Afternoon
Anguilla,Anguilla,1 days 05:24:00,2,2024-03-15 13:35:00,2024-03-16 14:59:00,AXA,Iberia,2014.0,105840.0,Afternoon,Afternoon
Anguilla,Anguilla,1 days 22:05:00,2,2024-03-15 19:00:00,2024-03-17 13:05:00,AXA,American Airlines,1977.0,165900.0,Evening,Afternoon
Anguilla,Anguilla,1 days 22:05:00,2,2024-03-15 19:00:00,2024-03-17 13:05:00,AXA,Iberia,2023.0,165900.0,Evening,Afternoon
Anguilla,Anguilla,1 days 22:05:00,2,2024-03-15 19:00:00,2024-03-17 13:05:00,AXA,Iberia,2023.0,165900.0,Evening,Afternoon
Anguilla,Anguilla,1 days 22:05:00,2,2024-03-15 19:00:00,2024-03-17 13:05:00,AXA,American Airlines,2023.0,165900.0,Evening,Afternoon
Anguilla,Anguilla,1 days 22:05:00,2,2024-03-15 19:00:00,2024-03-17 13:05:00,AXA,Iberia,2023.0,165900.0,Evening,Afternoon
Anguilla,Anguilla,1 days 22:05:00,2,2024-03-15 19:00:00,2024-03-17 13:05:00,AXA,American Airlines,2023.0,165900.0,Evening,Afternoon
Anguilla,Anguilla,1 days 23:59:00,2,2024-03-15 19:00:00,2024-03-17 14:59:00,AXA,American Airlines,1977.0,172740.0,Evening,Afternoon
Anguilla,Anguilla,1 days 23:59:00,2,2024-03-15 19:00:00,2024-03-17 14:59:00,AXA,Iberia,2023.0,172740.0,Evening,Afternoon
Anguilla,Anguilla,1 days 23:59:00,2,2024-03-15 19:00:00,2024-03-17 14:59:00,AXA,Iberia,2023.0,172740.0,Evening,Afternoon
Anguilla,Anguilla,1 days 23:59:00,2,2024-03-15 19:00:00,2024-03-17 14:59:00,AXA,American Airlines,2023.0,172740.0,Evening,Afternoon
Anguilla,Anguilla,1 days 23:59:00,2,2024-03-15 19:00:00,2024-03-17 14:59:00,AXA,American Airlines,2023.0,172740.0,Evening,Afternoon
Anguilla,Anguilla,1 days 23:59:00,2,2024-03-15 19:00:00,2024-03-17 14:59:00,AXA,Iberia,2023.0,172740.0,Evening,Afternoon
Anguilla,Anguilla,2 days 03:30:00,2,2024-03-15 13:35:00,2024-03-17 13:05:00,AXA,American Airlines,1977.0,185400.0,Afternoon,Afternoon
Anguilla,Anguilla,2 days 03:30:00,2,2024-03-15 13:35:00,2024-03-17 13:05:00,AXA,Iberia,2023.0,185400.0,Afternoon,Afternoon
Anguilla,Anguilla,2 days 03:30:00,2,2024-03-15 13:35:00,2024-03-17 13:05:00,AXA,American Airlines,2023.0,185400.0,Afternoon,Afternoon
Anguilla,Anguilla,2 days 03:30:00,2,2024-03-15 13:35:00,2024-03-17 13:05:00,AXA,Iberia,2023.0,185400.0,Afternoon,Afternoon
Antigua and Barbuda,Antigua,1 days 20:00:00,2,2024-03-15 01:10:00,2024-03-16 17:10:00,ANU,Pegasus Airlines,700.0,158400.0,Night,Afternoon
Antigua and Barbuda,Antigua,1 days 14:30:00,2,2024-03-15 02:25:00,2024-03-16 12:55:00,ANU,Lufthansa,938.0,138600.0,Night,Afternoon
Antigua and Barbuda,Antigua,1 days 16:25:00,2,2024-03-15 02:25:00,2024-03-16 14:50:00,ANU,Air Canada,1068.0,145500.0,Night,Afternoon
