,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Brazil,São Paulo,13h ,1 stop,19:00,05:00+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€783
1,Brazil,São Paulo,22h ,1 stop,11:30,06:30+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€624
2,Brazil,São Paulo,15h 5m,1 stop,19:00,07:05+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€823
3,Brazil,São Paulo,15h 55m,1 stop,16:05,05:00+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€835
4,Brazil,São Paulo,17h 35m,1 stop,16:35,07:10+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€829
5,Brazil,São Paulo,18h ,1 stop,16:05,07:05+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€874
6,Brazil,São Paulo,20h 40m,2 stops,11:30,05:10+1,VCP,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€774
7,Brazil,São Paulo,20h 40m,2 stops,11:30,05:10+1,VCP,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€775
8,Brazil,São Paulo,20h 40m,2 stops,11:30,05:10+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€775
9,Brazil,São Paulo,21h ,2 stops,11:30,05:30+1,VCP,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€774
10,Brazil,São Paulo,21h ,2 stops,11:30,05:30+1,VCP,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€775
11,Brazil,São Paulo,15h 5m,1 stop,19:00,07:05+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€965
12,Brazil,São Paulo,21h 40m,2 stops,11:30,06:10+1,CGH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€774
13,Brazil,São Paulo,21h 40m,2 stops,11:30,06:10+1,CGH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€775
14,Brazil,São Paulo,23h 40m,2 stops,11:30,08:10+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€774
15,Brazil,São Paulo,23h 45m,2 stops,11:30,08:15+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€775
16,Brazil,São Paulo,23h 50m,2 stops,19:00,15:50+1,GRU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€805
