,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
20,Brunei Darussalam,Bandar Seri Begawan,18h 40m,1 stop,15:05,17:45+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png",€988
21,Brunei Darussalam,Bandar Seri Begawan,18h 40m,1 stop,15:05,17:45+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,010"
22,Brunei Darussalam,Bandar Seri Begawan,21h 35m,2 stops,17:10,22:45+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png",€892
23,Brunei Darussalam,Bandar Seri Begawan,22h 45m,3 stops,16:00,22:45+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€830
24,Brunei Darussalam,Bandar Seri Begawan,22h 35m,2 stops,09:30,16:05+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png",€927
25,Brunei Darussalam,Bandar Seri Begawan,23h 40m,2 stops,15:05,22:45+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png",€905
26,Brunei Darussalam,Bandar Seri Begawan,24h 45m,3 stops,02:25,11:10+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€831
27,Brunei Darussalam,Bandar Seri Begawan,21h 15m,2 stops,09:30,14:45+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png","€1,000"
28,Brunei Darussalam,Bandar Seri Begawan,22h 15m,2 stops,11:30,17:45+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png","€1,000"
29,Brunei Darussalam,Bandar Seri Begawan,18h 10m,2 stops,15:05,17:15+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png","€1,098"
30,Brunei Darussalam,Bandar Seri Begawan,18h 40m,1 stop,15:05,17:45+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png","€1,153"
31,Brunei Darussalam,Bandar Seri Begawan,18h 40m,1 stop,15:05,17:45+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,175"
32,Brunei Darussalam,Bandar Seri Begawan,29h 40m,4 stops,02:25,16:05+1,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€739
33,Brunei Darussalam,Bandar Seri Begawan,38h 35m,2 stops,16:00,14:35+2,BWN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€670
