,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,China,Beijing,15h 5m,1 stop,17:10,16:15+1,PEK,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png",€439
1,China,Beijing,15h 15m,1 stop,09:30,08:45+1,PKX,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png",€684
2,China,Beijing,14h 45m,1 stop,16:00,14:45+1,PKX,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€695
3,China,Beijing,16h 45m,1 stop,14:00,14:45+1,PKX,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€698
4,China,Beijing,16h 45m,1 stop,14:00,14:45+1,PKX,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€698
5,China,Beijing,18h 55m,2 stops,11:30,14:25+1,PEK,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€634
6,China,Beijing,18h 55m,2 stops,11:30,14:25+1,PEK,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€634
7,China,Beijing,21h 15m,2 stops,11:00,16:15+1,PEK,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€592
8,China,Beijing,15h 40m,1 stop,15:05,14:45+1,PEK,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png",€755
9,China,Beijing,20h 20m,1 stop,01:10,05:30+1,PEK,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€671
10,China,Beijing,28h 50m,1 stop,17:10,06:00+2,PKX,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png",€542
