,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Cuba,Camaguey,35h 25m,3 stops,02:35,10:00+1,CMW,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/112.png",€983
1,Cuba,Camaguey,35h 35m,4 stops,02:25,10:00+1,CMW,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,296"
2,Cuba,Camaguey,35h 35m,4 stops,02:25,10:00+1,CMW,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,901"
3,Cuba,Camaguey,35h 35m,4 stops,02:25,10:00+1,CMW,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€2,028"
4,Cuba,Camaguey,28h 25m,2 stops,09:35,10:00+1,CMW,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€2,561"
5,Cuba,Cayo Coco,14h 15m,1 stop,09:35,19:50,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,073"
6,Cuba,Cayo Coco,21h 25m,2 stops,02:25,19:50,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,064"
7,Cuba,Cayo Coco,21h 25m,2 stops,02:25,19:50,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,092"
8,Cuba,Cayo Coco,21h 55m,2 stops,02:25,20:20,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,082"
9,Cuba,Cayo Coco,21h 55m,2 stops,02:25,20:20,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,082"
10,Cuba,Cayo Coco,27h 35m,2 stops,19:15,18:50+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€943
11,Cuba,Cayo Coco,21h 25m,3 stops,02:25,19:50,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,401"
12,Cuba,Cayo Coco,31h 5m,2 stops,16:55,20:00+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,123"
13,Cuba,Cayo Coco,33h 50m,3 stops,13:00,18:50+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/5015.png",€946
14,Cuba,Cayo Coco,38h 25m,3 stops,09:35,20:00+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€984
15,Cuba,Cayo Coco,38h 25m,3 stops,09:35,20:00+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€984
16,Cuba,Cayo Coco,38h 25m,3 stops,09:35,20:00+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€985
17,Cuba,Cayo Coco,36h 30m,3 stops,11:30,20:00+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png","€1,098"
18,Cuba,Cayo Coco,35h 20m,3 stops,11:30,18:50+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png","€1,148"
19,Cuba,Cayo Coco,38h 25m,3 stops,09:35,20:00+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,054"
20,Cuba,Cayo Coco,38h 25m,3 stops,09:35,20:00+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,106"
21,Cuba,Cayo Coco,37h 25m,3 stops,09:25,18:50+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/4583.png","€1,162"
22,Cuba,Cayo Coco,35h 20m,4 stops,11:30,18:50+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png","€1,164"
23,Cuba,Cayo Coco,32h 10m,3 stops,15:50,20:00+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,425"
24,Cuba,Cayo Coco,31h ,3 stops,15:50,18:50+1,CCC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,484"
25,Cuba,Havana,23h 35m,2 stops,01:10,20:45,HAV,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€526
26,Cuba,Havana,26h 35m,1 stop,19:00,17:35+1,HAV,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€532
27,Cuba,Havana,22h 10m,2 stops,02:35,20:45,HAV,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/112.png",€638
28,Cuba,Havana,20h 5m,2 stops,02:35,18:40,HAV,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/112.png",€696
29,Cuba,Havana,32h 10m,2 stops,16:35,20:45+1,HAV,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€485
30,Cuba,Havana,29h ,2 stops,16:35,17:35+1,HAV,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€546
