,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Ecuador,Galapagos Islands,22h 7m,2 stops,19:00,11:07+1,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€883
1,Ecuador,Galapagos Islands,25h 2m,2 stops,16:05,11:07+1,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€849
2,Ecuador,Galapagos Islands,25h 46m,2 stops,19:00,14:46+1,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€883
3,Ecuador,Galapagos Islands,28h 41m,2 stops,16:05,14:46+1,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€849
4,Ecuador,Galapagos Islands,29h 37m,3 stops,11:30,11:07+1,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€802
5,Ecuador,Galapagos Islands,41h 26m,4 stops,01:10,12:36+1,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€941
6,Ecuador,Galapagos Islands,47h 55m,2 stops,19:00,12:55+2,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png","€1,057"
7,Ecuador,Galapagos Islands,47h 55m,2 stops,19:00,12:55+2,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png","€1,058"
8,Ecuador,Galapagos Islands,46h 10m,2 stops,19:00,11:10+2,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png","€1,152"
9,Ecuador,Galapagos Islands,47h 55m,3 stops,19:00,12:55+2,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png","€1,077"
10,Ecuador,Galapagos Islands,50h 50m,2 stops,16:05,12:55+2,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png","€1,103"
11,Ecuador,Galapagos Islands,50h 50m,2 stops,16:05,12:55+2,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png","€1,104"
12,Ecuador,Galapagos Islands,53h 20m,2 stops,13:35,12:55+2,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png","€1,057"
13,Ecuador,Galapagos Islands,53h 20m,2 stops,13:35,12:55+2,GPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png","€1,058"
