,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Fiji,Nadi,29h 35m,2 stops,13:35,07:10+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,331"
1,Fiji,Nadi,28h 5m,2 stops,15:05,07:10+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png","€1,402"
2,Fiji,Nadi,27h 10m,2 stops,16:00,07:10+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,534"
3,Fiji,Nadi,32h 15m,2 stops,15:05,11:20+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png","€1,402"
4,Fiji,Nadi,32h 15m,2 stops,15:05,11:20+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,448"
5,Fiji,Nadi,34h 55m,3 stops,16:00,14:55+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,406"
6,Fiji,Nadi,29h 10m,2 stops,14:00,07:10+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,688"
7,Fiji,Nadi,35h 45m,3 stops,19:00,18:45+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,399"
8,Fiji,Nadi,35h 50m,3 stops,11:30,11:20+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png","€1,437"
9,Fiji,Nadi,31h 20m,2 stops,16:00,11:20+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,673"
10,Fiji,Nadi,35h 50m,3 stops,17:10,17:00+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png","€1,454"
11,Fiji,Nadi,40h 45m,2 stops,02:25,07:10+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,377"
12,Fiji,Nadi,29h 35m,2 stops,13:35,07:10+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,759"
13,Fiji,Nadi,32h 10m,3 stops,09:35,05:45+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,705"
14,Fiji,Nadi,30h 30m,2 stops,14:00,08:30+2,NAN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,858"
