,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Germany,Baden-Baden,15h 20m,2 stops,16:05,08:25+1,FKB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",
1,Germany,Berlin,5h 30m,1 stop,02:25,08:55,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€158
2,Germany,Berlin,6h 30m,1 stop,02:25,09:55,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€158
3,Germany,Berlin,8h 45m,1 stop,01:10,10:55,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€131
4,Germany,Berlin,7h 30m,1 stop,02:25,10:55,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€150
5,Germany,Berlin,13h 5m,1 stop,19:15,09:20+1,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€101
6,Germany,Berlin,5h 5m,1 stop,16:35,22:40,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€205
7,Germany,Berlin,9h 30m,1 stop,02:25,12:55,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€158
8,Germany,Berlin,8h 35m,2 stops,02:25,12:00,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€178
9,Germany,Berlin,8h 35m,2 stops,02:25,12:00,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€178
10,Germany,Berlin,8h 35m,2 stops,02:25,12:00,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€182
11,Germany,Berlin,6h 45m,2 stops,02:25,10:10,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€212
12,Germany,Berlin,15h 45m,1 stop,16:35,09:20+1,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€116
13,Germany,Berlin,15h 15m,1 stop,19:15,11:30+1,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€124
14,Germany,Berlin,14h 10m,1 stop,18:15,09:25+1,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/2777.png",€140
15,Germany,Berlin,13h 30m,1 stop,02:25,16:55,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€153
16,Germany,Berlin,6h 55m,2 stops,11:00,18:55,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€240
17,Germany,Berlin,6h 25m,1 stop,13:25,20:50,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€256
18,Germany,Berlin,5h 50m,1 stop,13:20,20:10,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€265
19,Germany,Berlin,14h 55m,1 stop,19:00,10:55+1,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€152
20,Germany,Berlin,14h 30m,1 stop,02:25,17:55,BER,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€160
21,Germany,Bonn,12h 10m,1 stop,01:10,14:20,CGN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€127
22,Germany,Bonn,9h 20m,2 stops,02:25,12:45,CGN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€176
23,Germany,Bonn,9h 20m,2 stops,02:25,12:45,CGN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€176
24,Germany,Bonn,9h 20m,2 stops,02:25,12:45,CGN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€185
25,Germany,Bonn,8h 30m,1 stop,13:00,22:30,CGN,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€229
