,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Cambodia,Siem Reap,,XXXX,,,,,
1,Cambodia,Siem Reap,,XXXX,,,,,
2,Cambodia,Siem Reap,,XXXX,,,,,
3,Cambodia,Siem Reap,,XXXX,,,,,
4,Cambodia,Siem Reap,,XXXX,,,,,
5,Cambodia,Siem Reap,,XXXX,,,,,
6,Cambodia,Siem Reap,,XXXX,,,,,
7,Cambodia,Siem Reap,,XXXX,,,,,
8,Cambodia,Siem Reap,,XXXX,,,,,
9,Cambodia,Siem Reap,,XXXX,,,,,
10,Cambodia,Siem Reap,,XXXX,,,,,
11,Cambodia,Siem Reap,,XXXX,,,,,
12,Cambodia,Siem Reap,,XXXX,,,,,
13,Cambodia,Siem Reap,,XXXX,,,,,
14,Cambodia,Siem Reap,,XXXX,,,,,
15,Cambodia,Siem Reap,,XXXX,,,,,
16,Cambodia,Siem Reap,,XXXX,,,,,
17,Cambodia,Siem Reap,,XXXX,,,,,
18,Cambodia,Siem Reap,,XXXX,,,,,
19,Cambodia,Siem Reap,,XXXX,,,,,
20,Guam,Guam,25h 55m,3 stops,16:00,03:55+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,172"
21,Guam,Guam,37h 25m,2 stops,16:00,15:25+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,019"
22,Guam,Guam,30h 25m,3 stops,09:30,01:55+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png","€1,155"
23,Guam,Guam,26h 50m,2 stops,15:05,03:55+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png","€1,324"
24,Guam,Guam,39h 25m,2 stops,14:00,15:25+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,019"
25,Guam,Guam,24h 45m,2 stops,17:10,03:55+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png","€1,434"
26,Guam,Guam,32h 25m,3 stops,09:30,03:55+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png","€1,205"
27,Guam,Guam,27h 5m,3 stops,13:25,02:30+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,370"
28,Guam,Guam,32h 25m,2 stops,09:30,03:55+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png","€1,300"
29,Guam,Guam,27h 5m,3 stops,13:25,02:30+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,416"
30,Guam,Guam,32h 20m,3 stops,08:10,02:30+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png","€1,550"
31,Guam,Guam,36h ,3 stops,16:35,14:35+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png","€1,480"
32,Guam,Guam,32h 20m,3 stops,08:10,02:30+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png","€1,597"
33,Guam,Guam,38h 15m,2 stops,14:00,14:15+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,618"
34,Guam,Guam,35h 25m,3 stops,17:10,14:35+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png","€1,680"
35,Guam,Guam,39h 30m,4 stops,02:25,03:55+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,699"
36,Guam,Guam,39h 30m,4 stops,02:25,03:55+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,708"
37,Guam,Guam,32h 25m,3 stops,09:30,03:55+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png","€2,094"
38,Guam,Guam,35h 40m,3 stops,17:10,14:50+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png","€2,157"
39,Guam,Guam,35h 25m,3 stops,17:10,14:35+2,GUM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png","€2,648"
40,Guatemala,Guatemala City,28h ,2 stops,19:00,17:00+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€538
41,Guatemala,Guatemala City,30h 55m,2 stops,16:05,17:00+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€572
42,Guatemala,Guatemala City,28h ,2 stops,19:00,17:00+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€632
43,Guatemala,Guatemala City,30h 55m,2 stops,16:05,17:00+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€599
44,Guatemala,Guatemala City,33h 25m,2 stops,13:35,17:00+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€563
45,Guatemala,Guatemala City,28h ,1 stop,19:00,17:00+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€774
46,Guatemala,Guatemala City,30h 55m,1 stop,16:05,17:00+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€829
47,Guatemala,Guatemala City,42h 45m,3 stops,19:00,07:45+2,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€542
48,Guatemala,Guatemala City,32h 32m,2 stops,16:05,18:37+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€836
49,Guatemala,Guatemala City,33h 5m,2 stops,19:00,22:05+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€829
50,Guatemala,Guatemala City,45h 40m,3 stops,16:05,07:45+2,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€576
51,Guatemala,Guatemala City,42h 45m,3 stops,19:00,07:45+2,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€636
52,Guatemala,Guatemala City,45h 40m,3 stops,16:05,07:45+2,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€603
53,Guatemala,Guatemala City,29h 37m,2 stops,19:00,18:37+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€933
54,Guatemala,Guatemala City,48h 10m,3 stops,13:35,07:45+2,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€567
55,Guatemala,Guatemala City,27h 35m,2 stops,13:35,11:10+1,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€993
56,Guatemala,Guatemala City,19h 55m,2 stops,08:10,22:05,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png","€1,270"
57,Guatemala,Guatemala City,19h 55m,2 stops,08:10,22:05,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png","€1,291"
58,Guatemala,Guatemala City,20h 50m,2 stops,08:10,23:00,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png","€1,284"
59,Guatemala,Guatemala City,50h 1m,2 stops,19:00,15:01+2,GUA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€836
60,Guinea,Conakry,3h ,Direct,22:20,01:20+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€422
61,Guinea,Conakry,9h 20m,1 stop,09:25,18:45,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/4583.png",€351
62,Guinea,Conakry,11h 30m,1 stop,22:45,10:15+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€630
63,Guinea,Conakry,15h 30m,1 stop,23:45,15:15+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€879
64,Guinea,Conakry,15h 15m,1 stop,09:55,01:10+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€913
65,Guinea,Conakry,18h 10m,3 stops,16:05,10:15+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€582
66,Guinea,Conakry,15h 15m,1 stop,09:55,01:10+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png",€970
67,Guinea,Conakry,22h 45m,2 stops,11:30,10:15+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€468
68,Guinea,Conakry,22h 15m,2 stops,20:30,18:45+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/932.png",€523
69,Guinea,Conakry,20h 40m,3 stops,13:35,10:15+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€589
70,Guinea,Conakry,16h 15m,2 stops,23:45,16:00+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,017"
71,Guinea,Conakry,17h 15m,2 stops,22:45,16:00+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€957
72,Guinea,Conakry,21h 55m,3 stops,12:20,10:15+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€586
73,Guinea,Conakry,20h 40m,3 stops,13:35,10:15+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€698
74,Guinea,Conakry,22h 35m,2 stops,02:35,01:10+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/112.png",€651
75,Guinea,Conakry,23h 15m,3 stops,11:00,10:15+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€548
76,Guinea,Conakry,24h 15m,2 stops,18:30,18:45+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€595
77,Guinea,Conakry,22h 35m,3 stops,02:35,01:10+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/112.png",€680
78,Guinea,Conakry,23h 30m,2 stops,19:15,18:45+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€710
79,Guinea,Conakry,22h 35m,3 stops,02:35,01:10+1,CKY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/112.png",€738
80,Guinea-Bissau,Bissau,5h 30m,Direct,22:50,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€554
81,Guinea-Bissau,Bissau,8h 35m,1 stop,09:25,18:00,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/4583.png",€914
82,Guinea-Bissau,Bissau,11h 45m,2 stops,16:35,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€645
83,Guinea-Bissau,Bissau,8h 35m,1 stop,09:25,18:00,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/4583.png",€978
84,Guinea-Bissau,Bissau,16h 50m,2 stops,11:30,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€492
85,Guinea-Bissau,Bissau,16h 50m,2 stops,11:30,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€625
86,Guinea-Bissau,Bissau,14h 45m,3 stops,13:35,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€760
87,Guinea-Bissau,Bissau,16h ,3 stops,12:20,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€697
88,Guinea-Bissau,Bissau,17h 20m,3 stops,11:00,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€645
89,Guinea-Bissau,Bissau,18h 55m,2 stops,09:25,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/4583.png",€645
90,Guinea-Bissau,Bissau,21h 15m,1 stop,16:35,13:50+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€645
91,Guinea-Bissau,Bissau,16h 35m,3 stops,11:45,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/192.png",€772
92,Guinea-Bissau,Bissau,20h 10m,3 stops,08:10,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€628
93,Guinea-Bissau,Bissau,20h 10m,3 stops,08:10,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€708
94,Guinea-Bissau,Bissau,20h 10m,3 stops,08:10,04:20+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€708
95,Guinea-Bissau,Bissau,19h 20m,2 stops,18:30,13:50+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€885
96,Guinea-Bissau,Bissau,26h 20m,1 stop,11:30,13:50+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€601
97,Guinea-Bissau,Bissau,21h 45m,2 stops,16:05,13:50+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€803
98,Guinea-Bissau,Bissau,23h 40m,2 stops,14:10,13:50+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€885
99,Guinea-Bissau,Bissau,23h 40m,3 stops,14:10,13:50+1,OXB,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€801
100,Guyana,Georgetown,,XXXX,,,,,
101,Guyana,Georgetown,,XXXX,,,,,
102,Guyana,Georgetown,,XXXX,,,,,
103,Guyana,Georgetown,,XXXX,,,,,
104,Guyana,Georgetown,,XXXX,,,,,
105,Guyana,Georgetown,,XXXX,,,,,
106,Guyana,Georgetown,,XXXX,,,,,
107,Guyana,Georgetown,,XXXX,,,,,
108,Guyana,Georgetown,,XXXX,,,,,
109,Guyana,Georgetown,,XXXX,,,,,
110,Guyana,Georgetown,,XXXX,,,,,
111,Guyana,Georgetown,,XXXX,,,,,
112,Guyana,Georgetown,,XXXX,,,,,
113,Guyana,Georgetown,,XXXX,,,,,
114,Guyana,Georgetown,,XXXX,,,,,
115,Guyana,Georgetown,,XXXX,,,,,
116,Guyana,Georgetown,,XXXX,,,,,
117,Guyana,Georgetown,,XXXX,,,,,
118,Guyana,Georgetown,,XXXX,,,,,
