,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Indonesia,Bali,25h 30m,2 stops,16:00,01:30+2,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€526
1,Indonesia,Bali,21h 20m,2 stops,14:00,19:20+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€652
2,Indonesia,Bali,22h ,2 stops,14:00,20:00+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€646
3,Indonesia,Bali,22h 10m,2 stops,14:00,20:10+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€646
4,Indonesia,Bali,20h 25m,2 stops,14:00,18:25+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€693
5,Indonesia,Bali,23h 5m,2 stops,14:00,21:05+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€646
6,Indonesia,Bali,27h 30m,2 stops,14:00,01:30+2,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€589
7,Indonesia,Bali,24h 50m,2 stops,14:00,22:50+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€643
8,Indonesia,Bali,20h 55m,2 stops,15:05,20:00+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png",€748
9,Indonesia,Bali,21h 5m,2 stops,15:05,20:10+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png",€748
10,Indonesia,Bali,32h ,2 stops,09:30,01:30+2,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png",€547
11,Indonesia,Bali,27h 30m,2 stops,14:00,01:30+2,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€633
12,Indonesia,Bali,27h 30m,2 stops,14:00,01:30+2,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€633
13,Indonesia,Bali,22h ,2 stops,15:05,21:05+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png",€748
14,Indonesia,Bali,20h 55m,2 stops,15:05,20:00+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png",€777
15,Indonesia,Bali,21h 5m,2 stops,15:05,20:10+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png",€778
16,Indonesia,Bali,23h 5m,2 stops,16:00,23:05+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€741
17,Indonesia,Bali,20h 25m,2 stops,14:00,18:25+1,DPS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€792
