,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Italy,Alghero,8h 20m,1 stop,13:00,22:20,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€268
1,Italy,Alghero,8h 30m,1 stop,13:00,22:30,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€279
2,Italy,Alghero,8h 20m,1 stop,13:00,22:20,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/5015.png",€301
3,Italy,Alghero,14h 10m,2 stops,02:25,17:35,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€272
4,Italy,Alghero,16h 35m,2 stops,16:35,10:10+1,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€254
5,Italy,Alghero,21h 40m,2 stops,11:30,10:10+1,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€190
6,Italy,Alghero,8h 30m,1 stop,13:00,22:30,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/5015.png",€401
7,Italy,Alghero,14h ,2 stops,02:35,17:35,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/112.png",€348
8,Italy,Alghero,18h 55m,2 stops,02:25,22:20,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€278
9,Italy,Alghero,18h 55m,2 stops,02:25,22:20,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€278
10,Italy,Alghero,15h 10m,2 stops,06:20,22:30,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/187.png",€344
11,Italy,Alghero,21h 20m,2 stops,19:15,17:35+1,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€277
12,Italy,Alghero,15h 10m,2 stops,06:20,22:30,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/187.png",€408
13,Italy,Alghero,19h 5m,3 stops,02:25,22:30,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€340
14,Italy,Alghero,19h 5m,3 stops,02:25,22:30,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€342
15,Italy,Alghero,15h 25m,2 stops,01:10,17:35,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€413
16,Italy,Alghero,24h ,2 stops,16:35,17:35+1,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€291
17,Italy,Alghero,26h 5m,2 stops,19:15,22:20+1,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€287
18,Italy,Alghero,26h 5m,3 stops,19:15,22:20+1,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/67.png",€300
19,Italy,Alghero,26h 5m,3 stops,19:15,22:20+1,AHO,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/67.png",€301
20,Italy,Ancona,7h 40m,1 stop,13:00,21:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€252
21,Italy,Ancona,8h 40m,1 stop,13:00,22:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€257
22,Italy,Ancona,7h 40m,1 stop,13:00,21:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/5015.png",€285
23,Italy,Ancona,9h 15m,2 stops,02:25,12:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€254
24,Italy,Ancona,9h 15m,2 stops,02:25,12:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€254
25,Italy,Ancona,9h 15m,2 stops,02:25,12:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€254
26,Italy,Ancona,19h 40m,2 stops,16:05,12:45+1,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€177
27,Italy,Ancona,8h 40m,1 stop,13:00,22:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/5015.png",€380
28,Italy,Ancona,16h 45m,2 stops,16:35,10:20+1,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€276
29,Italy,Ancona,18h 15m,2 stops,02:25,21:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€262
30,Italy,Ancona,18h 15m,2 stops,02:25,21:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€262
31,Italy,Ancona,21h 50m,2 stops,11:30,10:20+1,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€211
32,Italy,Ancona,9h 15m,3 stops,02:25,12:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€410
33,Italy,Ancona,22h 55m,2 stops,12:50,12:45+1,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€232
34,Italy,Ancona,20h 55m,2 stops,18:15,16:10+1,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/2777.png",€283
35,Italy,Ancona,22h 45m,2 stops,13:00,12:45+1,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€258
36,Italy,Ancona,10h 10m,2 stops,11:30,22:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€448
37,Italy,Ancona,24h 45m,2 stops,11:00,12:45+1,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€261
38,Italy,Ancona,20h 10m,2 stops,19:00,16:10+1,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€362
39,Italy,Ancona,19h 30m,2 stops,01:10,21:40,AOI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€403
40,Italy,Bari,4h 45m,1 stop,13:00,18:45,BRI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/5015.png",€287
41,Italy,Bari,4h 45m,1 stop,13:00,18:45,BRI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€302
42,Italy,Bari,6h 45m,1 stop,08:10,15:55,BRI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€251
43,Italy,Bari,7h 15m,2 stops,10:30,18:45,BRI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€232
44,Italy,Bari,7h 30m,1 stop,13:00,21:30,BRI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€280
45,Italy,Bari,7h 30m,1 stop,13:00,21:30,BRI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/5015.png",€314
46,Italy,Bari,8h 20m,2 stops,14:10,23:30,BRI,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€285
