,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Moldova,Chișinău,,XXXX,,,,,
1,Moldova,Chișinău,,XXXX,,,,,
2,Moldova,Chișinău,,XXXX,,,,,
3,Moldova,Chișinău,,XXXX,,,,,
4,Moldova,Chișinău,,XXXX,,,,,
5,Moldova,Chișinău,,XXXX,,,,,
6,Moldova,Chișinău,,XXXX,,,,,
7,Moldova,Chișinău,,XXXX,,,,,
8,Moldova,Chișinău,,XXXX,,,,,
9,Moldova,Chișinău,,XXXX,,,,,
10,Moldova,Chișinău,,XXXX,,,,,
11,Moldova,Chișinău,,XXXX,,,,,
12,Moldova,Chișinău,,XXXX,,,,,
13,Moldova,Chișinău,,XXXX,,,,,
14,Moldova,Chișinău,,XXXX,,,,,
15,Moldova,Chișinău,,XXXX,,,,,
16,Moldova,Chișinău,,XXXX,,,,,
17,Moldova,Chișinău,,XXXX,,,,,
18,Moldova,Chișinău,,XXXX,,,,,
19,Moldova,Chișinău,,XXXX,,,,,
20,Monaco,Monte Carlo,11h 40m,1 stop,11:30,00:10+1,NCE,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€190
21,Monaco,Monte Carlo,15h 55m,1 stop,17:10,10:05+1,NCE,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png",€342
22,Monaco,Monte Carlo,24h 5m,1 stop,17:10,18:15+1,NCE,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png",€342
23,Monaco,Monte Carlo,23h 10m,1 stop,09:55,10:05+1,NCE,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png",€565
24,Monaco,Monte Carlo,3h 55m,1 stop,19:00,23:55,NCE,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,617"
25,Monaco,Monte Carlo,9h 20m,1 stop,13:35,23:55,NCE,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,617"
26,Monaco,Monte Carlo,21h 55m,1 stop,14:00,12:55+1,NCE,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,412"
