,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Malaysia,Ipoh,26h 25m,4 stops,02:25,12:50+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€711
1,Malaysia,Ipoh,26h 25m,4 stops,02:25,12:50+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€728
2,Malaysia,Ipoh,26h 25m,4 stops,02:25,12:50+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€765
3,Malaysia,Ipoh,26h 25m,4 stops,02:25,12:50+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€784
4,Malaysia,Ipoh,30h 20m,4 stops,02:25,16:45+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€713
5,Malaysia,Ipoh,26h 25m,4 stops,02:25,12:50+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€791
6,Malaysia,Ipoh,30h 20m,4 stops,02:25,16:45+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€721
7,Malaysia,Ipoh,30h 20m,4 stops,02:25,16:45+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€730
8,Malaysia,Ipoh,30h 20m,4 stops,02:25,16:45+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€767
9,Malaysia,Ipoh,30h 20m,4 stops,02:25,16:45+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€786
10,Malaysia,Ipoh,30h 20m,4 stops,02:25,16:45+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€793
11,Malaysia,Ipoh,34h 25m,3 stops,14:00,08:25+2,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€819
12,Malaysia,Ipoh,38h 55m,3 stops,09:30,08:25+2,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png",€736
13,Malaysia,Ipoh,31h 15m,3 stops,17:10,08:25+2,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png",€894
14,Malaysia,Ipoh,30h 20m,4 stops,02:25,16:45+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€873
15,Malaysia,Ipoh,32h 25m,3 stops,16:00,08:25+2,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png",€898
16,Malaysia,Ipoh,31h 35m,4 stops,01:10,16:45+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€875
17,Malaysia,Ipoh,30h 20m,4 stops,02:25,16:45+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€907
18,Malaysia,Ipoh,34h 15m,3 stops,17:10,11:25+2,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png",€894
19,Malaysia,Ipoh,30h 20m,4 stops,02:25,16:45+1,IPH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€949
