,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,New Zealand,Auckland,30h 35m,2 stops,13:25,09:00+2,AKL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,118"
1,New Zealand,Auckland,39h 55m,2 stops,13:35,18:30+2,AKL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€929
2,New Zealand,Auckland,39h 55m,2 stops,13:35,18:30+2,AKL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€929
3,New Zealand,Auckland,27h 30m,2 stops,17:10,09:40+2,AKL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png","€1,222"
4,New Zealand,Auckland,36h 30m,3 stops,02:25,03:55+2,AKL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,004"
5,New Zealand,Auckland,36h 30m,3 stops,02:25,03:55+2,AKL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,004"
6,New Zealand,Auckland,36h 30m,3 stops,02:25,03:55+2,AKL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,004"
7,New Zealand,Auckland,36h 30m,3 stops,02:25,03:55+2,AKL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,004"
8,New Zealand,Auckland,34h 20m,3 stops,17:10,16:30+2,AKL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png","€1,060"
9,New Zealand,Auckland,34h 20m,3 stops,17:10,16:30+2,AKL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png","€1,060"
