,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Panama,Panama City,29h 15m,2 stops,16:05,16:20+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€573
1,Panama,Panama City,26h 20m,2 stops,19:00,16:20+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€633
2,Panama,Panama City,31h 45m,2 stops,13:35,16:20+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/32.png",€621
3,Panama,Panama City,23h 37m,2 stops,09:35,04:12+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€846
4,Panama,Panama City,25h 10m,2 stops,09:35,05:45+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/57.png",€836
5,Panama,Panama City,26h 20m,2 stops,19:00,16:20+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€851
6,Panama,Panama City,23h 37m,2 stops,09:35,04:12+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/57.png",€912
7,Panama,Panama City,33h 21m,2 stops,02:25,06:46+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€748
8,Panama,Panama City,33h 21m,2 stops,02:25,06:46+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€748
9,Panama,Panama City,23h 37m,2 stops,09:35,04:12+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/57.png",€932
10,Panama,Panama City,30h ,1 stop,17:10,18:10+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png",€861
11,Panama,Panama City,33h 21m,2 stops,02:25,06:46+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€771
12,Panama,Panama City,33h 21m,2 stops,02:25,06:46+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€771
13,Panama,Panama City,25h 51m,2 stops,09:35,06:26+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/57.png",€912
14,Panama,Panama City,30h 47m,2 stops,02:25,04:12+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€843
15,Panama,Panama City,30h 47m,2 stops,02:25,04:12+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€843
16,Panama,Panama City,47h 25m,2 stops,16:05,10:30+2,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€573
17,Panama,Panama City,32h 53m,2 stops,09:35,13:28+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/57.png",€836
18,Panama,Panama City,29h 15m,2 stops,16:05,16:20+1,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€903
19,Panama,Panama City,16h 5m,1 stop,08:10,19:15,PTY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png","€1,180"
20,Papua New Guinea,Port Moresby,29h 25m,3 stops,16:00,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,070"
21,Papua New Guinea,Port Moresby,30h 20m,2 stops,15:05,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png","€1,223"
22,Papua New Guinea,Port Moresby,28h 15m,2 stops,17:10,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png","€1,332"
23,Papua New Guinea,Port Moresby,35h 55m,2 stops,09:30,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png","€1,199"
24,Papua New Guinea,Port Moresby,35h 55m,2 stops,09:30,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png","€1,199"
25,Papua New Guinea,Port Moresby,31h 25m,3 stops,14:00,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,287"
26,Papua New Guinea,Port Moresby,30h 20m,3 stops,15:05,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png","€1,319"
27,Papua New Guinea,Port Moresby,27h 15m,2 stops,16:00,05:15+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,509"
28,Papua New Guinea,Port Moresby,29h 15m,2 stops,14:00,05:15+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,504"
29,Papua New Guinea,Port Moresby,35h 55m,3 stops,09:30,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png","€1,335"
30,Papua New Guinea,Port Moresby,35h 55m,3 stops,09:30,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png","€1,358"
31,Papua New Guinea,Port Moresby,29h 40m,3 stops,13:35,05:15+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,550"
32,Papua New Guinea,Port Moresby,34h 25m,4 stops,11:00,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,398"
33,Papua New Guinea,Port Moresby,30h 20m,3 stops,15:05,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/142.png","€1,638"
34,Papua New Guinea,Port Moresby,35h 55m,3 stops,09:30,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/277.png","€1,520"
35,Papua New Guinea,Port Moresby,28h 15m,3 stops,17:10,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/47.png","€1,712"
36,Papua New Guinea,Port Moresby,34h 25m,4 stops,11:00,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png","€1,504"
37,Papua New Guinea,Port Moresby,44h 15m,4 stops,01:10,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png","€1,303"
38,Papua New Guinea,Port Moresby,44h 15m,4 stops,01:10,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png","€1,318"
39,Papua New Guinea,Port Moresby,29h 25m,3 stops,16:00,07:25+2,POM,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,757"
40,Paraguay,Asunción,18h 25m,1 stop,16:05,07:30+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€771
41,Paraguay,Asunción,19h 5m,2 stops,15:25,07:30+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€767
42,Paraguay,Asunción,17h 55m,2 stops,16:35,07:30+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€908
43,Paraguay,Asunción,23h 55m,3 stops,02:25,23:20,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€752
44,Paraguay,Asunción,27h 10m,2 stops,16:05,16:15+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€761
45,Paraguay,Asunción,24h 25m,2 stops,10:05,07:30+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€821
46,Paraguay,Asunción,24h 25m,2 stops,10:05,07:30+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€821
47,Paraguay,Asunción,23h 30m,2 stops,11:00,07:30+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€850
48,Paraguay,Asunción,32h 25m,2 stops,11:30,16:55+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€674
49,Paraguay,Asunción,23h ,2 stops,11:30,07:30+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€888
50,Paraguay,Asunción,23h ,2 stops,11:30,07:30+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€888
51,Paraguay,Asunción,23h ,3 stops,11:30,07:30+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€838
52,Paraguay,Asunción,21h 10m,2 stops,13:20,07:30+1,ASU,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€944
