,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Spain,Alicante,12h 35m,1 stop,19:00,08:35+1,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€82
1,Spain,Alicante,15h 30m,1 stop,16:05,08:35+1,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€125
2,Spain,Alicante,11h 30m,2 stops,11:00,23:30,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€188
3,Spain,Alicante,7h 50m,2 stops,11:00,19:50,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€219
4,Spain,Alicante,19h 20m,2 stops,15:25,11:45+1,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€147
5,Spain,Alicante,14h 40m,2 stops,16:35,08:15+1,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€196
6,Spain,Alicante,11h 30m,1 stop,11:00,23:30,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€228
7,Spain,Alicante,11h ,2 stops,11:30,23:30,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€225
8,Spain,Alicante,7h 20m,2 stops,11:30,19:50,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€256
9,Spain,Alicante,19h 45m,2 stops,11:30,08:15+1,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€175
10,Spain,Alicante,16h 35m,2 stops,16:05,09:40+1,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€200
11,Spain,Alicante,7h 50m,1 stop,11:00,19:50,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€274
12,Spain,Alicante,15h 40m,2 stops,23:00,15:40+1,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€211
13,Spain,Alicante,16h 5m,2 stops,16:35,09:40+1,ALC,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€209
