,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Sudan,Khartoum,,XXXX,,,,,
1,Sudan,Khartoum,,XXXX,,,,,
2,Sudan,Khartoum,,XXXX,,,,,
3,Sudan,Khartoum,,XXXX,,,,,
4,Sudan,Khartoum,,XXXX,,,,,
5,Sudan,Khartoum,,XXXX,,,,,
6,Sudan,Khartoum,,XXXX,,,,,
7,Sudan,Khartoum,,XXXX,,,,,
8,Sudan,Khartoum,,XXXX,,,,,
9,Sudan,Khartoum,,XXXX,,,,,
10,Sudan,Khartoum,,XXXX,,,,,
11,Sudan,Khartoum,,XXXX,,,,,
12,Sudan,Khartoum,,XXXX,,,,,
13,Sudan,Khartoum,,XXXX,,,,,
14,Sudan,Khartoum,,XXXX,,,,,
15,Sudan,Khartoum,,XXXX,,,,,
16,Sudan,Khartoum,,XXXX,,,,,
17,Sudan,Khartoum,,XXXX,,,,,
18,Sudan,Khartoum,,XXXX,,,,,
19,Sudan,Khartoum,,XXXX,,,,,
20,Swaziland,Manzini,,XXXX,,,,,
21,Swaziland,Manzini,,XXXX,,,,,
22,Swaziland,Manzini,,XXXX,,,,,
23,Swaziland,Manzini,,XXXX,,,,,
24,Swaziland,Manzini,,XXXX,,,,,
25,Swaziland,Manzini,,XXXX,,,,,
26,Swaziland,Manzini,,XXXX,,,,,
27,Swaziland,Manzini,,XXXX,,,,,
28,Swaziland,Manzini,,XXXX,,,,,
29,Swaziland,Manzini,,XXXX,,,,,
30,Swaziland,Manzini,,XXXX,,,,,
31,Swaziland,Manzini,,XXXX,,,,,
32,Swaziland,Manzini,,XXXX,,,,,
33,Swaziland,Manzini,,XXXX,,,,,
34,Swaziland,Manzini,,XXXX,,,,,
35,Swaziland,Manzini,,XXXX,,,,,
36,Swaziland,Manzini,,XXXX,,,,,
37,Swaziland,Manzini,,XXXX,,,,,
38,Swaziland,Manzini,,XXXX,,,,,
39,Swaziland,Manzini,,XXXX,,,,,
40,Switzerland,Altenrhein,15h 35m,2 stops,02:25,19:00,ACH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€641
41,Switzerland,Altenrhein,15h 35m,2 stops,02:25,19:00,ACH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€649
42,Switzerland,Altenrhein,15h 25m,4 stops,02:35,19:00,ACH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/112.png",€809
43,Switzerland,Altenrhein,15h 35m,3 stops,02:25,19:00,ACH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€2,024"
44,Switzerland,Altenrhein,15h 35m,3 stops,02:25,19:00,ACH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€2,162"
45,Switzerland,Altenrhein,15h 35m,3 stops,02:25,19:00,ACH,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€2,832"
46,Switzerland,Altenrhein,,XXXX,,,,,
47,Switzerland,Altenrhein,,XXXX,,,,,
48,Switzerland,Altenrhein,,XXXX,,,,,
49,Switzerland,Altenrhein,,XXXX,,,,,
50,Switzerland,Altenrhein,,XXXX,,,,,
51,Switzerland,Altenrhein,,XXXX,,,,,
52,Switzerland,Altenrhein,,XXXX,,,,,
53,Switzerland,Altenrhein,,XXXX,,,,,
54,Switzerland,Altenrhein,,XXXX,,,,,
55,Switzerland,Altenrhein,,XXXX,,,,,
56,Switzerland,Altenrhein,,XXXX,,,,,
57,Switzerland,Altenrhein,,XXXX,,,,,
58,Switzerland,Altenrhein,,XXXX,,,,,
59,Switzerland,Altenrhein,,XXXX,,,,,
60,Switzerland,Basel / Mulhouse,3h 15m,Direct,06:20,10:35,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/187.png",€100
61,Switzerland,Basel / Mulhouse,5h 35m,1 stop,15:25,22:00,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€161
62,Switzerland,Basel / Mulhouse,9h 25m,1 stop,01:10,11:35,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€132
63,Switzerland,Basel / Mulhouse,7h 30m,1 stop,08:15,16:45,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€177
64,Switzerland,Basel / Mulhouse,6h 45m,1 stop,02:25,10:10,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€198
65,Switzerland,Basel / Mulhouse,10h 10m,1 stop,02:25,13:35,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€198
66,Switzerland,Basel / Mulhouse,8h 10m,1 stop,13:35,22:45,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€238
67,Switzerland,Basel / Mulhouse,13h ,1 stop,08:15,22:15,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€148
68,Switzerland,Basel / Mulhouse,13h 25m,1 stop,01:10,15:35,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€143
69,Switzerland,Basel / Mulhouse,7h 20m,2 stops,13:35,21:55,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€256
70,Switzerland,Basel / Mulhouse,13h 35m,1 stop,08:00,22:35,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€159
71,Switzerland,Basel / Mulhouse,10h 55m,1 stop,10:05,22:00,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€216
72,Switzerland,Basel / Mulhouse,11h 10m,1 stop,01:10,13:20,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€212
73,Switzerland,Basel / Mulhouse,10h 45m,2 stops,11:30,23:15,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€210
74,Switzerland,Basel / Mulhouse,10h 45m,2 stops,11:30,23:15,BSL,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/17.png",€210
