,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Swaziland,Manzini,,XXXX,,,,,
1,Swaziland,Manzini,,XXXX,,,,,
2,Swaziland,Manzini,,XXXX,,,,,
3,Swaziland,Manzini,,XXXX,,,,,
4,Swaziland,Manzini,,XXXX,,,,,
5,Swaziland,Manzini,,XXXX,,,,,
6,Swaziland,Manzini,,XXXX,,,,,
7,Swaziland,Manzini,,XXXX,,,,,
8,Swaziland,Manzini,,XXXX,,,,,
9,Swaziland,Manzini,,XXXX,,,,,
10,Swaziland,Manzini,,XXXX,,,,,
11,Swaziland,Manzini,,XXXX,,,,,
12,Swaziland,Manzini,,XXXX,,,,,
13,Swaziland,Manzini,,XXXX,,,,,
14,Swaziland,Manzini,,XXXX,,,,,
15,Swaziland,Manzini,,XXXX,,,,,
16,Swaziland,Manzini,,XXXX,,,,,
17,Swaziland,Manzini,,XXXX,,,,,
18,Swaziland,Manzini,,XXXX,,,,,
19,Swaziland,Manzini,,XXXX,,,,,
20,Tonga,Nuku'Alofa,,XXXX,,,,,
21,Tonga,Nuku'Alofa,,XXXX,,,,,
22,Tonga,Nuku'Alofa,,XXXX,,,,,
23,Tonga,Nuku'Alofa,,XXXX,,,,,
24,Tonga,Nuku'Alofa,,XXXX,,,,,
25,Tonga,Nuku'Alofa,,XXXX,,,,,
26,Tonga,Nuku'Alofa,,XXXX,,,,,
27,Tonga,Nuku'Alofa,,XXXX,,,,,
28,Tonga,Nuku'Alofa,,XXXX,,,,,
29,Tonga,Nuku'Alofa,,XXXX,,,,,
30,Tonga,Nuku'Alofa,,XXXX,,,,,
31,Tonga,Nuku'Alofa,,XXXX,,,,,
32,Tonga,Nuku'Alofa,,XXXX,,,,,
33,Tonga,Nuku'Alofa,,XXXX,,,,,
34,Tonga,Nuku'Alofa,,XXXX,,,,,
35,Tonga,Nuku'Alofa,,XXXX,,,,,
36,Tonga,Nuku'Alofa,,XXXX,,,,,
37,Tonga,Nuku'Alofa,,XXXX,,,,,
38,Tonga,Nuku'Alofa,,XXXX,,,,,
39,Tonga,Nuku'Alofa,,XXXX,,,,,
40,Trinidad and Tobago,Port of Spain,49h 29m,2 stops,14:00,11:29+2,POS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,032"
41,Trinidad and Tobago,Port of Spain,49h 29m,2 stops,14:00,11:29+2,POS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,035"
42,Trinidad and Tobago,Port of Spain,41h 30m,2 stops,08:10,21:40+1,POS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png","€1,280"
43,Trinidad and Tobago,Port of Spain,49h 29m,2 stops,14:00,11:29+2,POS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,096"
44,Trinidad and Tobago,Port of Spain,35h 40m,2 stops,14:00,21:40+1,POS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/222.png","€1,588"
45,Trinidad and Tobago,Port of Spain,28h 32m,2 stops,13:35,14:07+1,POS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/27.png","€2,038"
