,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,Turks and Caicos Islands,Providenciales,38h 52m,2 stops,02:25,13:17+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€805
1,Turks and Caicos Islands,Providenciales,32h ,1 stop,09:35,13:35+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,132"
2,Turks and Caicos Islands,Providenciales,30h 30m,2 stops,09:35,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,138"
3,Turks and Caicos Islands,Providenciales,30h 30m,2 stops,09:35,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,138"
4,Turks and Caicos Islands,Providenciales,30h 30m,2 stops,09:35,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,138"
5,Turks and Caicos Islands,Providenciales,30h 30m,2 stops,09:35,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,138"
6,Turks and Caicos Islands,Providenciales,39h 40m,3 stops,01:10,12:50+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€918
7,Turks and Caicos Islands,Providenciales,39h 10m,2 stops,02:25,13:35+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,050"
8,Turks and Caicos Islands,Providenciales,37h 40m,2 stops,02:25,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,135"
9,Turks and Caicos Islands,Providenciales,37h 40m,2 stops,02:25,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,135"
10,Turks and Caicos Islands,Providenciales,37h 40m,2 stops,02:25,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,135"
11,Turks and Caicos Islands,Providenciales,37h 40m,2 stops,02:25,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png","€1,135"
12,Turks and Caicos Islands,Providenciales,30h 30m,2 stops,09:35,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,319"
13,Turks and Caicos Islands,Providenciales,30h 30m,2 stops,09:35,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,319"
14,Turks and Caicos Islands,Providenciales,30h 30m,2 stops,09:35,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,319"
15,Turks and Caicos Islands,Providenciales,30h 30m,2 stops,09:35,12:05+1,PLS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png","€1,319"
