,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,United Kingdom,Aberdeen,7h 35m,1 stop,13:35,21:10,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€263
1,United Kingdom,Aberdeen,10h 10m,2 stops,11:00,21:10,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€251
2,United Kingdom,Aberdeen,13h ,2 stops,02:25,15:25,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€253
3,United Kingdom,Aberdeen,13h 10m,2 stops,08:00,21:10,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€256
4,United Kingdom,Aberdeen,11h 25m,2 stops,02:25,13:50,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€298
5,United Kingdom,Aberdeen,11h 25m,2 stops,02:25,13:50,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€301
6,United Kingdom,Aberdeen,9h 35m,2 stops,10:05,19:40,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€359
7,United Kingdom,Aberdeen,8h 25m,2 stops,08:10,16:35,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€386
8,United Kingdom,Aberdeen,9h 50m,2 stops,13:25,23:15,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€375
9,United Kingdom,Aberdeen,9h 50m,2 stops,13:25,23:15,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€375
10,United Kingdom,Aberdeen,8h 25m,2 stops,08:10,16:35,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/7.png",€412
11,United Kingdom,Aberdeen,18h 50m,2 stops,17:25,12:15+1,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€197
12,United Kingdom,Aberdeen,9h 50m,2 stops,13:25,23:15,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€398
13,United Kingdom,Aberdeen,10h 15m,2 stops,13:00,23:15,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€401
14,United Kingdom,Aberdeen,12h 10m,2 stops,10:05,22:15,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/42.png",€366
15,United Kingdom,Aberdeen,18h 50m,2 stops,17:25,12:15+1,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€245
16,United Kingdom,Aberdeen,16h 5m,2 stops,01:10,17:15,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/197.png",€310
17,United Kingdom,Aberdeen,10h 15m,2 stops,13:00,23:15,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/5015.png",€437
18,United Kingdom,Aberdeen,11h ,2 stops,02:25,13:25,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€429
19,United Kingdom,Aberdeen,8h 25m,2 stops,08:10,16:35,ABZ,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/67.png",€487
20,United Kingdom,Belfast,6h 50m,1 stop,10:05,16:55,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€227
21,United Kingdom,Belfast,6h 25m,1 stop,13:25,19:50,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€265
22,United Kingdom,Belfast,7h 50m,1 stop,14:10,22:00,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€247
23,United Kingdom,Belfast,8h 35m,1 stop,13:25,22:00,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€242
24,United Kingdom,Belfast,7h 30m,1 stop,12:20,19:50,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€265
25,United Kingdom,Belfast,9h 40m,1 stop,12:20,22:00,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€242
26,United Kingdom,Belfast,8h 45m,1 stop,13:35,22:20,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€286
27,United Kingdom,Belfast,14h 10m,2 stops,17:25,07:35+1,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€173
28,United Kingdom,Belfast,9h 35m,2 stops,11:00,20:35,BHD,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€268
29,United Kingdom,Belfast,11h 40m,1 stop,08:10,19:50,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€276
30,United Kingdom,Belfast,14h 10m,2 stops,17:25,07:35+1,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€221
31,United Kingdom,Belfast,15h 50m,2 stops,17:25,09:15+1,BHD,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€191
32,United Kingdom,Belfast,11h ,2 stops,02:25,13:25,BHD,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€290
33,United Kingdom,Belfast,13h 50m,1 stop,08:10,22:00,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€253
34,United Kingdom,Belfast,8h 25m,2 stops,08:10,16:35,BHD,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€342
35,United Kingdom,Belfast,11h ,2 stops,02:25,13:25,BHD,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€294
36,United Kingdom,Belfast,13h ,2 stops,02:25,15:25,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€265
37,United Kingdom,Belfast,11h ,2 stops,02:25,13:25,BHD,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€305
38,United Kingdom,Belfast,16h 35m,2 stops,17:25,10:00+1,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€204
39,United Kingdom,Belfast,9h 45m,2 stops,02:25,12:10,BFS,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€336
40,United Kingdom,Birmingham,5h 45m,1 stop,02:25,08:10,BHX,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€199
