,country,city,duration,trajectory,departure_time,arrival_time,airport_id,airline,price
0,United States,Nashville,12h 21m,1 stop,15:50,23:11,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€716
1,United States,Nashville,25h 25m,2 stops,02:25,22:50,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€472
2,United States,Nashville,25h 25m,2 stops,02:25,22:50,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€495
3,United States,Nashville,20h 58m,1 stop,16:10,08:08+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€655
4,United States,Nashville,28h 44m,2 stops,09:35,09:19+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€493
5,United States,Nashville,25h 17m,2 stops,12:20,08:37+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€593
6,United States,Nashville,25h 17m,2 stops,12:20,08:37+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€597
7,United States,Nashville,28h 44m,2 stops,09:35,09:19+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€540
8,United States,Nashville,27h ,3 stops,02:25,00:25+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€561
9,United States,Nashville,28h 39m,2 stops,09:35,09:14+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€583
10,United States,Nashville,28h 39m,2 stops,09:35,09:14+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€583
11,United States,Nashville,28h 39m,2 stops,09:35,09:14+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€583
12,United States,Nashville,28h 39m,2 stops,09:35,09:14+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€583
13,United States,Nashville,28h 39m,2 stops,09:35,09:14+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€584
14,United States,Nashville,28h 39m,2 stops,09:35,09:14+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€584
15,United States,Nashville,28h 39m,2 stops,09:35,09:14+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€584
16,United States,Nashville,26h 7m,3 stops,11:30,08:37+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/802.png",€601
17,United States,Nashville,35h 54m,2 stops,02:25,09:19+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€426
18,United States,Nashville,12h 57m,1 stop,16:05,00:02+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€987
19,United States,Nashville,28h 40m,2 stops,09:35,09:15+1,BNA,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/57.png",€606
20,United States,New Orleans,12h 49m,1 stop,16:05,23:54,MSY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€908
21,United States,New Orleans,20h 50m,2 stops,09:35,01:25+1,MSY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€667
22,United States,New Orleans,26h 37m,3 stops,02:25,00:02+1,MSY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€547
23,United States,New Orleans,26h 37m,3 stops,02:25,00:02+1,MSY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€547
24,United States,New Orleans,26h 37m,3 stops,02:25,00:02+1,MSY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/22.png",€547
25,United States,New Orleans,21h 30m,2 stops,16:10,08:40+1,MSY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/62.png",€822
26,United States,New Orleans,19h 27m,3 stops,09:35,00:02+1,MSY,"https://jtc-fm.meta-cdn.net/cdn-cgi/image/width=64,height=64,fit=crop,gravity=auto/upload/auto/carriers/icons/original/172.png",€858
